AISC MANUAL LABEL,TYPE,Weight,Area,Depth,Height,Outer Diameter,bf,B,ID,tw,tf,T,TNOM,TDES,Kdes,Kdet,K1,X,Y,E0,XP,YP,bf/2tf,B_T,h/t,H_T,D_T,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,rz,J,Cw,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
,,lbs,in2,in,in,in,in,in,in,in,in,,in,in,in,in,IN,,,,,,,,,,,in4,in3,in3,in,in4,in3,in3,in,in,in4,in6,,,,,,,,,
W18X71,W,71.0,20.8,18.5,,,7.64,,,0.495,0.810,,,,1.21,1.5,0.875,,,,,,4.71,,32.4,,,1170,146,127,7.50,60.3,24.7,15.8,1.70,,3.49,4700,,33.8,52.3,25.6,72.4,,,,
W18X65,W,65.0,19.1,18.4,,,7.59,,,0.450,0.750,,,,1.15,1.4375,0.875,,,,,,5.06,,35.7,,,1070,133,117,7.49,54.8,22.5,14.4,1.69,,2.73,4240,,33.5,47.7,23.6,66.3,,,,
W18X60,W,60.0,17.6,18.2,,,7.56,,,0.415,0.695,,,,1.10,1.375,0.8125,,,,,,5.44,,38.7,,,984,123,108,7.47,50.1,20.6,13.3,1.68,,2.17,3850,,33.1,43.5,21.7,60.6,,,,
W18X55,W,55.0,16.2,18.1,,,7.53,,,0.390,0.630,,,,1.03,1.3125,0.8125,,,,,,5.98,,41.1,,,890,112,98.3,7.41,44.9,18.5,11.9,1.67,,1.66,3430,,32.9,39.0,19.6,55.3,,,,
W18X50,W,50.0,14.7,18.0,,,7.50,,,0.355,0.570,,,,0.972,1.25,0.8125,,,,,,6.57,,45.2,,,800,101,88.9,7.38,40.1,16.6,10.7,1.65,,1.24,3040,,32.7,34.9,17.7,49.9,,,,
W18X46,W,46.0,13.5,18.1,,,6.06,,,0.360,0.605,,,,1.01,1.25,0.8125,,,,,,5.01,,44.6,,,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,,1.22,1720,,26.5,24.3,15.1,44.9,,,,
W18X40,W,40.0,11.8,17.9,,,6.02,,,0.315,0.525,,,,0.927,1.1875,0.8125,,,,,,5.73,,50.9,,,612,78.4,68.4,7.21,19.1,10.0,6.35,1.27,,0.810,1440,,26.1,20.7,13.0,38.6,,,,
W18X35,W,35.0,10.3,17.7,,,6.00,,,0.300,0.425,,,,0.827,1.125,0.75,,,,,,7.06,,53.5,,,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,,0.506,1140,,25.9,16.5,10.5,32.7,,,,
W16X100,W,100,29.5,17.0,,,10.4,,,0.585,0.985,,,,1.39,1.875,1.125,,,,,,5.29,,24.3,,,1490,198,175,7.10,186,54.9,35.7,2.51,,7.73,11900,,41.6,107,38.7,98.5,,,,
W16X89,W,89.0,26.2,16.8,,,10.4,,,0.525,0.875,,,,1.28,1.75,1.0625,,,,,,5.92,,27.0,,,1300,175,155,7.05,163,48.1,31.4,2.49,,5.45,10200,,41.4,94.2,34.4,87.3,,,,
W16X77,W,77.0,22.6,16.5,,,10.3,,,0.455,0.760,,,,1.16,1.625,1.0625,,,,,,6.77,,31.2,,,1110,150,134,7.00,138,41.1,26.9,2.47,,3.57,8590,,40.5,79.3,29.4,74.4,,,,
W16X67,W,67.0,19.7,16.3,,,10.2,,,0.395,0.665,,,,1.07,1.5625,1,,,,,,7.70,,35.9,,,954,130,117,6.96,119,35.5,23.2,2.46,,2.39,7300,,39.9,67.6,25.5,64.1,,,,
W16X57,W,57.0,16.8,16.4,,,7.12,,,0.430,0.715,,,,1.12,1.375,0.875,,,,,,4.98,,33.0,,,758,105,92.2,6.72,43.1,18.9,12.1,1.60,,2.22,2660,,27.9,35.5,18.8,52.0,,,,
W16X50,W,50.0,14.7,16.3,,,7.07,,,0.380,0.630,,,,1.03,1.3125,0.8125,,,,,,5.61,,37.4,,,659,92.0,81.0,6.68,37.2,16.3,10.5,1.59,,1.52,2270,,27.7,30.8,16.5,45.6,,,,
W16X45,W,45.0,13.3,16.1,,,7.04,,,0.345,0.565,,,,0.967,1.25,0.8125,,,,,,6.23,,41.1,,,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,,1.11,1990,,27.3,27.2,14.7,40.6,,,,
W16X40,W,40.0,11.8,16.0,,,7.00,,,0.305,0.505,,,,0.907,1.1875,0.8125,,,,,,6.93,,46.5,,,518,73.0,64.7,6.63,28.9,12.7,8.25,1.57,,0.794,1730,,27.1,24.0,13.1,36.0,,,,
W16X36,W,36.0,10.6,15.9,,,6.99,,,0.295,0.430,,,,0.832,1.125,0.75,,,,,,8.12,,48.1,,,448,64.0,56.5,6.51,24.5,10.8,7.00,1.52,,0.545,1460,,27.0,20.3,11.1,31.6,,,,
W16X31,W,31.0,9.13,15.9,,,5.53,,,0.275,0.440,,,,0.842,1.125,0.75,,,,,,6.28,,51.6,,,375,54.0,47.2,6.41,12.4,7.03,4.49,1.17,,0.461,739,,21.4,13.0,8.94,26.6,,,,
W16X26,W,26.0,7.68,15.7,,,5.50,,,0.250,0.345,,,,0.747,1.0625,0.75,,,,,,7.97,,56.8,,,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12,,0.262,565,,21.1,10.0,6.95,21.6,,,,
W14X730,W,730,215,22.4,,,17.9,,,3.07,4.91,,,,5.51,6.1875,2.75,,,,,,1.82,,3.71,,,14300,1660,1280,8.17,4720,816,527,4.69,,1450,362000,,78.3,1720,318,829,,,,
W14X665,W,665,196,21.6,,,17.7,,,2.83,4.52,,,,5.12,5.8125,2.625,,,,,,1.95,,4.03,,,12400,1480,1150,7.98,4170,730,472,4.62,,1120,305000,,75.6,1510,287,739,,,,
